customer_id,booking_date,amount,slot_start,capacity,status,town,country,product,party_size,credits_remaining
C0053,2024-09-03,55.00,14:00,8,completed,Granard,IE,Private hire,2,0
C0259,2024-09-06,45.00,17:00,8,completed,Mullingar,IE,Cold plunge,2,5
C0123,2024-09-07,45.00,18:00,8,completed,Cavan,IE,Sauna session,1,0
C0210,2024-09-07,45.00,18:00,8,completed,Belfast,GB,Cold plunge,2,0
C0242,2024-09-07,45.00,14:00,8,completed,Longford,IE,Sauna session,1,5
C0326,2024-09-11,45.00,11:00,8,completed,Mullingar,IE,Sauna session,1,0
C0376,2024-09-14,55.00,11:00,8,no_show,Longford,IE,Cold plunge,1,0
C0077,2024-09-15,45.00,14:00,8,completed,Dublin,IE,Sauna session,1,5
C0162,2024-09-15,55.00,14:00,8,completed,Longford,IE,Sauna session,1,5
C0360,2024-09-15,55.00,11:00,8,completed,Cavan,IE,Sauna session,2,0
C0027,2024-09-19,45.00,17:00,8,completed,Granard,IE,Sauna session,2,0
C0051,2024-09-20,45.00,20:00,8,completed,Granard,IE,Ten-pack,2,0
C0125,2024-09-20,45.00,14:00,8,completed,Longford,IE,Ten-pack,1,0
C0258,2024-09-20,45.00,20:00,8,completed,Sligo,IE,Cold plunge,1,0
C0242,2024-09-21,45.00,14:00,8,completed,Longford,IE,Sauna session,1,5
C0096,2024-09-22,45.00,20:00,8,completed,Belfast,GB,Private hire,1,0
C0132,2024-09-24,55.00,14:00,8,cancelled,Granard,IE,Sauna session,1,0
C0395,2024-09-25,55.00,11:00,8,no_show,Mullingar,IE,Ten-pack,2,5
C0259,2024-09-27,45.00,17:00,8,completed,Mullingar,IE,Cold plunge,2,5
C0123,2024-09-28,45.00,18:00,8,completed,Cavan,IE,Sauna session,1,0
C0360,2024-09-29,55.00,11:00,8,completed,Cavan,IE,Sauna session,2,0
C0098,2024-10-03,45.00,17:00,8,completed,Cavan,IE,Ten-pack,2,0
C0344,2024-10-03,45.00,11:00,8,completed,Dublin,IE,Sauna session,1,0
C0051,2024-10-04,45.00,20:00,8,completed,Granard,IE,Ten-pack,2,0
C0242,2024-10-05,45.00,14:00,8,completed,Longford,IE,Sauna session,1,5
C0225,2024-10-08,45.00,18:00,8,no_show,Longford,IE,Private hire,2,0
C0090,2024-10-10,45.00,20:00,8,completed,Granard,IE,Cold plunge,1,0
C0258,2024-10-11,45.00,20:00,8,completed,Sligo,IE,Cold plunge,1,0
C0259,2024-10-11,45.00,17:00,8,completed,Mullingar,IE,Cold plunge,2,5
C0339,2024-10-12,45.00,17:00,8,completed,Belfast,GB,Sauna session,1,0
C0376,2024-10-12,45.00,11:00,8,completed,Longford,IE,Cold plunge,1,0
C0096,2024-10-13,45.00,20:00,8,completed,Belfast,GB,Private hire,1,0
C0056,2024-10-14,45.00,14:00,8,completed,Sligo,IE,Cold plunge,1,0
C0097,2024-10-14,55.00,11:00,8,completed,Longford,IE,Cold plunge,2,0
C0238,2024-10-15,45.00,20:00,8,completed,,,Sauna session,1,0
C0192,2024-10-16,45.00,11:00,8,completed,,,Ten-pack,2,0
C0051,2024-10-18,55.00,20:00,8,completed,Granard,IE,Ten-pack,2,0
C0125,2024-10-18,45.00,14:00,8,completed,Longford,IE,Ten-pack,1,0
C0123,2024-10-19,55.00,18:00,8,completed,Cavan,IE,Sauna session,1,0
C0234,2024-10-19,55.00,20:00,8,completed,Cavan,IE,Sauna session,1,0
C0242,2024-10-19,45.00,14:00,8,completed,Longford,IE,Sauna session,1,5
C0360,2024-10-20,45.00,11:00,8,completed,Cavan,IE,Sauna session,2,0
C0256,2024-10-21,45.00,11:00,8,completed,Granard,IE,Cold plunge,2,0
C0155,2024-10-22,45.00,17:00,8,completed,Nowheresville,IE,Cold plunge,1,0
C0090,2024-10-24,45.00,20:00,8,completed,Granard,IE,Cold plunge,1,0
C0279,2024-10-24,55.00,20:00,8,completed,Longford,IE,Sauna session,1,0
C0344,2024-10-24,45.00,11:00,8,completed,Dublin,IE,Sauna session,1,0
C0258,2024-10-25,45.00,20:00,8,cancelled,Sligo,IE,Cold plunge,1,0
C0259,2024-10-25,45.00,17:00,8,completed,Mullingar,IE,Cold plunge,2,5
C0119,2024-10-26,45.00,14:00,8,completed,Longford,IE,Cold plunge,1,0
C0227,2024-10-27,55.00,20:00,8,completed,Nowheresville,IE,Private hire,2,0
C0342,2024-10-27,45.00,17:00,8,completed,Cavan,IE,Sauna session,1,0
C0021,2024-10-28,45.00,20:00,8,completed,Dublin,IE,Cold plunge,1,0
C0137,2024-10-28,45.00,14:00,8,completed,Cavan,IE,Ten-pack,1,0
C0225,2024-10-29,45.00,18:00,8,completed,Longford,IE,Private hire,2,0
C0238,2024-10-29,55.00,20:00,8,completed,,,Sauna session,1,0
C0192,2024-10-30,45.00,11:00,8,completed,,,Ten-pack,2,0
C0276,2024-10-30,45.00,20:00,8,completed,Granard,IE,Ten-pack,2,5
C0027,2024-10-31,45.00,17:00,8,cancelled,Granard,IE,Sauna session,2,0
C0123,2024-11-02,55.00,18:00,8,completed,Cavan,IE,Sauna session,1,0
C0256,2024-11-04,45.00,11:00,8,cancelled,Granard,IE,Cold plunge,2,0
C0015,2024-11-05,55.00,14:00,8,no_show,Sligo,IE,Private hire,1,0
